ISBN,title,author,imprint,sold_by
9781429298643,LIFE: THE SCIENCE OF BIOLOGY,DAVID E SADAVA,FREEMAN/WORTH,Macmillan Higher Education
9781429298902,PSYCHOLOGY: A CONCISE INTRODUCTION,RICHARD A GRIGGS,WORTH PUBLISHERS,Macmillan Higher Education
9781429219617,BIOLOGY OF PLANTS,PETER H RAVEN,FREEMAN/WORTH,Macmillan Higher Education
9781464126147,MOLECULAR BIOLOGY: PRINCIPLES AND PRACTICE,MICHAEL M COX,W. H. FREEMAN,Macmillan Higher Education
9781464135958,WHAT IS LIFE? A GUIDE TO BIOLOGY,JAY PHELAN,FREEMAN/WORTH,Macmillan Higher Education
9781429242301,INTRODUCING PSYCHOLOGY,DANIEL L SCHACTER,FREEMAN/WORTH,Macmillan Higher Education
9781464140815,PSYCHOLOGY,DAVID G MYERS,FREEMAN/WORTH,Macmillan Higher Education
9781464154072,EXPLORING PSYCHOLOGY,DAVID G MYERS,WORTH PUBLISHERS,Macmillan Higher Education
9781464171703,ABNORMAL PSYCHOLOGY,RONALD J COMER,WORTH PUBLISHERS,Macmillan Higher Education
